time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1638027706,20211127,3947807313,1900000000,21%,2400000000,40161,4017,normal,7965,6145
1638114106,20211128,3947807313,1900000000,21%,2400000000,40161,4017,normal,7965,6145
1638200506,20211129,3947807313,1900000000,21%,2400000000,40161,4017,normal,7965,6145
1638280090,20211130,3947807313,1900000000,21%,2400000000,40161,4017,normal,7965,6145
1638281368,20211130,3947807313,1900000000,21%,2400000000,40160,4017,normal,7965,6145
1638282777,20211130,3947807313,1900000000,21%,2400000000,40158,4017,normal,7966,6145
1638283472,20211130,3947807313,1900000000,21%,2400000000,40158,4017,normal,7967,6145
1638284774,20211130,3947807313,1900000000,21%,2400000000,40158,4017,normal,7967,6146
1638286754,20211130,3947807313,1900000000,21%,2400000000,40136,4017,normal,7968,6146
1638287410,20211130,3947807313,1900000000,21%,2400000000,40133,4017,normal,7968,6146
1638287461,20211130,3947807313,1900000000,21%,2400000000,40133,4017,normal,7968,6146
1638288697,20211130,3947807313,1900000000,21%,2400000000,40126,4017,normal,7968,6146
1638289225,20211130,3947807313,1900000000,21%,2400000000,40125,4017,normal,7969,6146
1638289614,20211130,3947807313,1900000000,21%,2400000000,40125,4017,normal,7969,6146
1638291410,20211130,3947807313,1900000000,21%,2400000000,40123,4017,normal,7969,6146
1638292833,20211130,3947807313,1900000000,21%,2400000000,40118,4017,normal,7969,6146
1638294054,20211130,3947807313,1900000000,21%,2400000000,40118,4017,normal,7969,6146
1638294200,20211130,3947807313,1900000000,21%,2400000000,40118,4017,normal,7969,6146
1638295838,20211130,3947807313,1900000000,21%,2400000000,40095,4017,normal,7969,6146
1638297637,20211130,3947807313,1900000000,21%,2400000000,40095,4017,normal,7970,6146
1638299010,20211130,3947807313,1900000000,21%,2400000000,40094,4017,normal,7970,6146
1638300704,20211130,3947807313,1900000000,21%,2400000000,40094,4017,normal,7970,6146
1638302702,20211130,3947807313,1900000000,21%,2400000000,40093,4017,normal,7970,6146
1638304546,20211130,3947807313,1900000000,21%,2400000000,40093,4017,normal,7970,6146
1638306203,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638308021,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638309839,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638311788,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638313444,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638315304,20211130,3947807313,1900000000,21%,2400000000,40092,4017,normal,7970,6146
1638318036,20211201,3947807313,1900000000,21%,2400000000,40091,4017,normal,7970,6147
1638322689,20211201,3947807313,1900000000,21%,2400000000,40085,3902,normal,7975,6147
1638325567,20211201,3947807313,1900000000,21%,2400000000,40077,3902,normal,7975,6147
1638327002,20211201,3947807313,1900000000,21%,2400000000,40072,3902,normal,7975,6147
1638328018,20211201,3947807313,1900000000,21%,2400000000,40061,3902,normal,7975,6147
1638329794,20211201,3947807313,1900000000,21%,2400000000,40046,3902,normal,7977,6147
1638331588,20211201,3947807313,1900000000,21%,2400000000,40012,3902,normal,7979,6146
1638334021,20211201,3947807313,1900000000,21%,2400000000,40010,3902,normal,7981,6146
1638335148,20211201,3947807313,1900000000,21%,2400000000,40006,3902,normal,7981,6146
1638336788,20211201,3947807313,1900000000,21%,2400000000,40002,3902,normal,7982,6146
1638338786,20211201,3947807313,1900000000,21%,2400000000,39998,3902,normal,7984,6145
1638340962,20211201,3947807313,1900000000,21%,2400000000,39973,3902,normal,7985,6145
1638342315,20211201,3947807313,1900000000,21%,2400000000,39959,3902,normal,7988,6145
1638343900,20211201,3947807313,1900000000,21%,2400000000,39959,3902,normal,7990,6146
1638346296,20211201,3947807313,1900000000,21%,2400000000,39218,3902,normal,7990,6146
1638347996,20211201,3947807313,1900000000,21%,2400000000,39235,3902,normal,7990,6146
1638349779,20211201,3947807313,1900000000,21%,2400000000,39251,3902,normal,7991,6146
1638351699,20211201,3947807313,1900000000,21%,2400000000,39251,3902,normal,7994,6146
1638353374,20211201,3947807313,1900000000,21%,2400000000,39249,3902,normal,7995,6146
1638354570,20211201,3947807313,1900000000,21%,2400000000,39246,3902,normal,7996,6146
1638355111,20211201,3947807313,1900000000,21%,2400000000,39266,3902,normal,7996,6146
1638358324,20211201,3947807313,1900000000,21%,2400000000,39264,3902,normal,7996,6146
1638360755,20211201,3947807313,1900000000,21%,2400000000,39262,3902,normal,7996,6146
1638363254,20211201,3947807313,1900000000,21%,2400000000,39260,3902,normal,7997,6146
1638364461,20211201,3947807313,1900000000,21%,2400000000,39278,3902,normal,7998,6146
1638365905,20211201,3947807313,1900000000,21%,2400000000,39276,3902,normal,7999,6146
1638367490,20211201,3947807313,1900000000,21%,2400000000,39295,3902,normal,8001,6147
1638369234,20211201,3947807313,1900000000,21%,2400000000,39314,3902,normal,8002,6147
1638371383,20211201,3947807313,1900000000,21%,2400000000,39312,3902,normal,8003,6147
1638373147,20211201,3947807313,1900000000,21%,2400000000,39311,3902,normal,8003,6147
1638375107,20211201,3947807313,1900000000,21%,2400000000,39328,3902,normal,8005,6147
1638377919,20211201,3947807313,1900000000,21%,2400000000,39319,3902,normal,8006,6148
1638379418,20211201,3947807313,1900000000,21%,2400000000,39318,3902,normal,8007,6148
1638380776,20211201,3947807313,1900000000,21%,2400000000,39318,3902,normal,8007,6149
1638389359,20211201,3947807313,1900000000,21%,2400000000,39318,3817,normal,8007,6149
1638404346,20211202,3947807313,1900000000,21%,2400000000,39318,3817,normal,8009,6149
1638408837,20211202,3947807313,1900000000,21%,2400000000,39351,3817,normal,8010,6149
1638411711,20211202,3947807313,1900000000,21%,2400000000,39361,3817,normal,8015,6149
1638413286,20211202,3947807313,1900000000,21%,2400000000,39354,3817,normal,8016,6149
1638414287,20211202,3947807313,1900000000,21%,2400000000,39372,3817,normal,8016,6149
1638416194,20211202,3947807313,1900000000,21%,2400000000,39365,3817,normal,8017,6149
1638417961,20211202,3947807313,1900000000,21%,2400000000,39378,3817,normal,8018,6149
1638420366,20211202,3947807313,1900000000,21%,2400000000,39369,3817,normal,8019,6149
1638421465,20211202,3947807313,900000000,63%,2400000000,10917,3817,normal,8019,6149
1638423151,20211202,3947807313,900000000,63%,2400000000,10901,3817,normal,8020,6149
1638425181,20211202,3947807313,900000000,63%,2400000000,10883,3817,normal,8021,6150
1638427347,20211202,3947807313,900000000,63%,2400000000,10875,3817,normal,8021,6150
1638428690,20211202,3947807313,900000000,63%,2400000000,10871,3817,normal,8021,6150
1638430397,20211202,3947807313,900000000,63%,2400000000,10864,3817,normal,8022,6150
1638432323,20211202,3947807313,1900000000,21%,2400000000,39311,3817,normal,8023,6150
1638434383,20211202,3947807313,1900000000,21%,2400000000,39308,3817,normal,8023,6150
1638435857,20211202,3947807313,1900000000,21%,2400000000,38566,3817,normal,8024,6150
1638437802,20211202,3947807313,1900000000,21%,2400000000,38601,3817,normal,8024,6150
1638439786,20211202,3947807313,1900000000,21%,2400000000,38617,3817,normal,8026,6150
1638441586,20211202,3947807313,1900000000,21%,2400000000,38614,3817,normal,8027,6150
1638443048,20211202,3947807313,1900000000,21%,2400000000,38652,3817,normal,8028,6150
1638444683,20211202,3947807313,1900000000,21%,2400000000,38642,3817,normal,8028,6151
1638446883,20211202,3947807313,1900000000,21%,2400000000,38696,3817,normal,8029,6151
1638449554,20211202,3947807313,1900000000,21%,2400000000,38731,3817,normal,8029,6151
1638450786,20211202,3947807313,1900000000,21%,2400000000,38749,3817,normal,8029,6151
1638452213,20211202,3947807313,1900000000,21%,2400000000,38743,3817,normal,8029,6151
1638453864,20211202,3947807313,1900000000,21%,2400000000,38735,3817,normal,8029,6151
1638455591,20211202,3947807313,1900000000,21%,2400000000,38732,3817,normal,8030,6151
1638457470,20211202,3947807313,1900000000,21%,2400000000,38745,3817,normal,8030,6151
1638459512,20211202,3947807313,1900000000,21%,2400000000,38740,3817,normal,8031,6151
1638461322,20211202,3947807313,1900000000,21%,2400000000,38750,3817,normal,8031,6151
1638464234,20211202,3947807313,1900000000,21%,2400000000,38817,3817,normal,8032,6151
1638465441,20211202,3947807313,1900000000,21%,2400000000,38816,3817,normal,8032,6151
1638466797,20211202,3947807313,1900000000,21%,2400000000,38815,3817,normal,8032,6152
1638473505,20211202,3947807313,1900000000,21%,2400000000,38815,3677,normal,8032,6152
1638480728,20211202,3947807313,1900000000,21%,2400000000,38815,3677,normal,8033,6152
1638486223,20211202,3947807313,1900000000,21%,2400000000,38814,3677,normal,8033,6152
1638490742,20211203,3947807313,1900000000,21%,2400000000,38831,3677,normal,8033,6152
1638495205,20211203,3947807313,1900000000,21%,2400000000,38827,3677,normal,8033,6152
1638498097,20211203,3947807313,1900000000,21%,2400000000,38843,3677,normal,8034,6153
1638499672,20211203,3947807313,1900000000,21%,2400000000,38955,3677,normal,8037,6153
1638500706,20211203,3947807313,1900000000,21%,2400000000,38951,3677,normal,8038,6153
1638502586,20211203,3947807313,1900000000,21%,2400000000,38949,3677,normal,8041,6153
1638504381,20211203,3947807313,1900000000,21%,2400000000,38944,3677,normal,8041,6154
1638506788,20211203,3947807313,1900000000,21%,2400000000,38935,3677,normal,8042,6154
1638507912,20211203,3947807313,1900000000,21%,2400000000,38933,3677,normal,8043,6154
1638511590,20211203,3947807313,1900000000,21%,2400000000,38932,3677,normal,8045,6154
1638513748,20211203,3947807313,1900000000,21%,2400000000,38916,3677,normal,8046,6154
1638515090,20211203,3947807313,1900000000,21%,2400000000,38916,3677,normal,8047,6154
1638516799,20211203,3947807313,1900000000,21%,2400000000,38913,3677,normal,8048,6154
1638518836,20211203,3947807313,900000000,63%,2400000000,10857,3677,normal,8048,6155
1638520801,20211203,3947807313,900000000,63%,2400000000,10850,3677,normal,8049,6156
1638522275,20211203,3947807313,900000000,63%,2400000000,10848,3677,normal,8049,6156
1638524186,20211203,3947807313,900000000,63%,2400000000,10845,3677,normal,8050,6156
1638525963,20211203,3947807313,900000000,63%,2400000000,10840,3677,normal,8051,6155
1638527893,20211203,3947807313,900000000,63%,2400000000,10833,3677,normal,8053,6155
1638529379,20211203,3947807313,1900000000,21%,2400000000,39624,3677,normal,8053,6155
1638531082,20211203,3947807313,1900000000,21%,2400000000,39559,3677,normal,8053,6155
1638533287,20211203,3947807313,1900000000,21%,2400000000,39535,3677,normal,8055,6155
